name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,GW
Moisés Caicedo Corozo,MID,Chelsea,0.6,0,0,12,0,28.3,157,1
Carlos Henrique Casimiro,MID,Man Utd,1.6,0,0,19,1,39.9,368,1
Jhon Durán,FWD,Aston Villa,2.0,0,1,30,0,2.1,38,1
Jacob Murphy,MID,Newcastle,3.0,0,0,9,0,0.9,402,1
Sean Longstaff,MID,Newcastle,2.6,0,0,11,1,1.3,410,1
Leander Dendoncker,MID,Aston Villa,1.0,0,0,0,0,0.0,33,1
Trevoh Chalobah,DEF,Chelsea,0.9,0,0,0,0,0.0,159,1
Ryan Manning,DEF,Southampton,0.9,0,0,0,0,0.0,467,1
Vitalii Mykolenko,DEF,Everton,1.9,0,0,-5,0,1.2,231,1
Ryan Christie,MID,Bournemouth,1.6,0,0,5,0,1.1,63,1
Fábio Silva,FWD,Wolves,0.4,0,0,0,0,0.0,545,1
Kepa Arrizabalaga,GK,Chelsea,1.2,0,0,0,0,0.0,152,1
Frank Onyeka,MID,Brentford,1.6,0,0,2,0,0.0,102,1
Youssef Ramalho Chermiti,FWD,Everton,0.0,0,0,0,0,0.0,237,1
Morgan Gibbs-White,MID,Nott'm Forest,2.3,0,0,8,0,41.3,433,1
Noni Madueke,MID,Chelsea,1.3,0,0,0,0,0.0,177,1
Nélson Cabral Semedo,DEF,Wolves,0.0,0,0,0,0,0.0,559,1
Tommy Doyle,MID,Wolves,0.6,0,0,0,0,0.0,544,1
Tom Heaton,GK,Man Utd,1.0,0,0,0,0,0.0,374,1
Lucas Bergvall,MID,Spurs,1.5,0,0,9,0,19.4,481,1
Lesley Ugochukwu,MID,Chelsea,0.0,0,0,0,0,0.0,188,1
Evan Ferguson,FWD,Brighton,0.9,0,0,0,0,0.0,123,1
Christian Eriksen,MID,Man Utd,2.0,0,0,0,0,0.0,370,1
Danny Ings,FWD,West Ham,1.4,0,0,2,0,0.3,523,1
Jean-Ricner Bellegarde,MID,Wolves,0.6,0,0,2,0,1.3,535,1
Tim Ream,DEF,Fulham,0.0,0,0,0,0,0.0,253,1
Benoît Badiashile,DEF,Chelsea,0.9,0,0,0,0,0.0,153,1
Radu Drăgușin,DEF,Spurs,2.4,0,0,0,0,0.0,486,1
Jack Stephens,DEF,Southampton,0.0,0,0,6,0,16.6,472,1
Mateo Kovačić,MID,Man City,3.0,0,3,36,1,4.9,354,1
Nicolás Domínguez,MID,Nott'm Forest,1.6,0,0,3,0,5.7,431,1
Ben Doak,MID,Liverpool,2.0,0,0,0,0,0.0,318,1
Phil Foden,MID,Man City,4.2,0,0,6,0,3.7,348,1
Mason Mount,MID,Man Utd,2.3,0,0,-1,1,22.8,382,1
Gabriel Martinelli Silva,MID,Arsenal,3.5,0,0,16,1,36.7,9,1
Yasin Ayari,MID,Brighton,1.6,0,0,0,0,0.1,600,1
Facundo Buonanotte,MID,Leicester,1.1,0,0,13,0,19.9,117,1
Caoimhin Kelleher,GK,Liverpool,3.2,0,0,0,0,0.0,325,1
Odeluga Offiah,DEF,Brighton,1.0,0,0,0,0,0.0,139,1
Lino da Cruz Sousa,DEF,Aston Villa,0.0,0,0,0,0,0.0,56,1
Amario Cozier-Duberry,MID,Brighton,1.0,0,0,0,0,0.0,118,1
Emerson Leite de Souza Junior,DEF,Spurs,0.0,0,0,0,0,0.0,487,1
Kai Havertz,FWD,Arsenal,3.5,1,3,48,1,24.1,4,1
Scott Carson,GK,Man City,2.0,0,0,0,0,0.0,344,1
Ethan Brierley,MID,Brentford,1.0,0,0,0,0,0.0,87,1
Andrey Nascimento dos Santos,MID,Chelsea,0.0,0,0,0,0,0.0,150,1
Rico Henry,DEF,Brentford,0.5,0,0,0,0,0.0,92,1
Mateusz Lis,GK,Southampton,0.0,0,0,0,0,0.0,465,1
Yoane Wissa,FWD,Brentford,2.0,1,3,47,0,14.2,110,1
Daniel Iversen,GK,Leicester,0.5,0,0,0,0,0.0,294,1
Mads Hermansen,GK,Leicester,1.7,0,0,15,0,0.0,293,1
Rob Holding,DEF,Crystal Palace,1.9,0,0,0,0,0.0,202,1
Ismaïla Sarr,MID,Crystal Palace,2.2,0,0,3,0,0.3,585,1
Jarrod Bowen,MID,West Ham,2.6,0,0,3,0,16.8,514,1
Mark O’Mahony,FWD,Brighton,1.0,0,0,0,0,0.0,138,1
Ryan Sessegnon,DEF,Fulham,1.9,0,0,0,0,0.0,579,1
Josh Dasilva,MID,Brentford,0.0,0,0,0,0,0.0,90,1
Jadon Sancho,MID,Man Utd,2.3,0,0,0,0,0.0,386,1
Sam Johnstone,GK,Crystal Palace,2.2,0,0,0,0,0.0,204,1
Jonny Evans,DEF,Man Utd,1.9,0,0,2,0,0.0,371,1
Mohamed Salah,MID,Liverpool,5.0,1,3,38,1,24.4,328,1
Timothy Castagne,DEF,Fulham,1.9,0,0,0,0,0.0,244,1
Tariq Lamptey,DEF,Brighton,1.0,0,0,0,0,0.0,131,1
Ola Aina,DEF,Nott'm Forest,1.9,0,0,4,0,2.1,422,1
Taiwo Awoniyi,FWD,Nott'm Forest,2.0,0,0,6,0,1.0,424,1
Leandro Trossard,MID,Arsenal,3.5,0,0,2,0,0.3,23,1
Jacob Greaves,DEF,Ipswich,0.0,0,0,12,0,0.8,270,1
Alfie Whiteman,GK,Spurs,1.5,0,0,0,0,0.0,510,1
Séamus Coleman,DEF,Everton,0.0,0,0,0,0,0.0,221,1
Fabian Schär,DEF,Newcastle,2.8,0,0,-8,0,0.3,415,1
Nicolas Jackson,FWD,Chelsea,1.4,0,0,3,0,23.6,180,1
Joe White,MID,Newcastle,2.0,0,0,0,0,0.0,419,1
Jamie Vardy,FWD,Leicester,0.3,0,2,33,0,0.1,306,1
Miguel Almirón Rejala,MID,Newcastle,3.2,0,0,0,0,0.0,391,1
James Garner,MID,Everton,0.0,0,0,0,0,0.0,223,1
Marcus Tavernier,MID,Bournemouth,2.0,0,0,14,0,41.4,83,1
Lewis Dobbin,MID,Aston Villa,0.0,0,0,0,0,0.0,37,1
Viljami Sinisalo,GK,Aston Villa,0.0,0,0,0,0,0.0,55,1
Omari Kellyman,MID,Chelsea,0.0,0,0,0,0,0.0,173,1
Daniel Castelo Podence,MID,Wolves,1.0,0,0,2,0,0.2,562,1
Martial Godo,MID,Fulham,1.0,0,0,0,0,0.0,605,1
Harrison Reed,MID,Fulham,1.6,0,0,4,0,0.0,254,1
Guido Rodríguez,MID,West Ham,1.6,0,0,15,0,1.9,588,1
Will Alves,MID,Leicester,0.5,0,0,0,0,0.0,606,1
Carlos Baleba,MID,Brighton,1.6,0,0,0,0,0.0,115,1
James Hill,DEF,Bournemouth,1.0,0,0,0,0,0.0,68,1
David Datro Fofana,FWD,Chelsea,0.7,0,0,0,0,0.0,164,1
Ryan Fraser,MID,Newcastle,2.6,0,0,0,0,0.0,397,1
Ângelo Gabriel Borges Damaceno,MID,Chelsea,0.0,0,0,0,0,0.0,151,1
Nathan Patterson,DEF,Everton,0.0,0,0,0,0,0.0,234,1
Robin Olsen,GK,Aston Villa,1.1,0,0,0,0,0.0,51,1
Mathias Jensen,MID,Brentford,2.0,0,0,11,0,17.9,95,1
Bart Verbruggen,GK,Brighton,0.6,0,0,0,0,0.0,146,1
Dango Ouattara,MID,Bournemouth,1.6,0,0,8,0,3.0,74,1
Emmanuel Dennis,FWD,Nott'm Forest,1.4,0,0,0,0,0.0,430,1
Yehor Yarmoliuk,MID,Brentford,1.0,0,0,0,0,0.0,111,1
Julián Álvarez,FWD,Man City,0.0,0,0,0,0,0.0,352,1
Tyler Dibling,MID,Southampton,0.0,0,0,6,0,12.3,608,1
Paul Onuachu,FWD,Southampton,0.4,0,0,0,0,0.0,470,1
Bobby Clark,MID,Liverpool,2.0,0,0,0,0,0.0,315,1
Kieran Tierney,DEF,Arsenal,0.0,0,0,0,0,0.0,21,1
Darwin Núñez Ribeiro,FWD,Liverpool,3.4,0,0,0,0,0.0,316,1
Josh Bowler,MID,Nott'm Forest,1.0,0,0,0,0,0.0,426,1
Sugawara Yukinari,DEF,Southampton,0.9,0,0,6,0,15.1,474,1
Aaron Wan-Bissaka,DEF,West Ham,1.9,0,0,0,0,0.0,388,1
Bobby De Cordova-Reid,MID,Leicester,1.5,0,0,2,0,2.8,290,1
Nathan Broadhead,MID,Ipswich,0.0,0,0,0,0,0.0,262,1
Matheus Luiz Nunes,MID,Man City,2.6,0,0,0,0,0.0,356,1
Jake O'Brien,DEF,Everton,2.4,0,0,0,0,0.0,582,1
Cameron Peupion,MID,Brighton,1.0,0,0,0,0,0.0,140,1
Kosta Nedeljković,DEF,Aston Villa,1.0,0,0,6,0,0.3,50,1
