name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,GW
Wilfred Ndidi,MID,Leicester,2.0,0,0,11,0,4.2,300,9
Maxence Lacroix,DEF,Crystal Palace,2.5,0,0,21,1,0.4,650,9
John Ruddy,GK,Newcastle,-0.5,0,0,0,0,0.0,414,9
Caleb Okoli,DEF,Leicester,3.0,0,0,12,0,2.3,301,9
Odysseas Vlachodimos,GK,Newcastle,-0.5,0,0,0,0,0.0,412,9
George Earthy,MID,West Ham,0.0,0,0,0,0,0.0,519,9
Daichi Kamada,MID,Crystal Palace,0.5,0,0,4,0,0.3,205,9
Reece James,DEF,Chelsea,1.2,0,0,15,0,13.8,172,9
Georginio Rutter,MID,Brighton,7.3,1,0,15,1,28.9,618,9
Conor Chaplin,MID,Ipswich,1.8,1,0,21,0,29.3,265,9
Santiago Bueno,DEF,Wolves,0.8,0,0,9,0,0.9,564,9
Corrie Ndaba,DEF,Ipswich,0.0,0,0,0,0,0.0,279,9
Kenny Tete,DEF,Fulham,1.3,0,0,4,0,18.3,257,9
Pablo Sarabia,MID,Wolves,0.0,0,0,5,0,43.0,565,9
Diogo Teixeira da Silva,MID,Liverpool,0.0,0,0,0,0,0.0,317,9
Kortney Hause,DEF,Aston Villa,0.0,0,0,0,0,0.0,40,9
Liam Delap,FWD,Ipswich,6.2,0,0,27,0,0.0,268,9
Bastien Meupiyou,DEF,Wolves,0.0,0,0,0,0,0.0,637,9
Tino Livramento,DEF,Newcastle,0.8,0,0,9,0,12.1,409,9
Tyler Adams,MID,Bournemouth,0.2,0,0,3,0,0.1,60,9
Danilo dos Santos de Oliveira,MID,Nott'm Forest,0.0,0,0,0,0,0.0,429,9
Jenson Metcalfe,MID,Everton,0.0,0,0,0,0,0.0,614,9
Marcus Rashford,MID,Man Utd,2.8,0,0,4,0,21.8,385,9
James Maddison,MID,Spurs,5.3,0,0,11,0,18.9,494,9
Daniel Muñoz,DEF,Crystal Palace,1.8,0,0,15,1,15.9,211,9
Bruno Guimarães Rodriguez Moura,MID,Newcastle,1.8,0,0,18,0,17.6,394,9
Fraser Forster,GK,Spurs,0.5,0,0,0,0,0.0,488,9
Elliot Anderson,MID,Nott'm Forest,3.0,1,0,21,0,14.9,423,9
Charlie Taylor,DEF,Southampton,-0.7,0,0,0,0,0.0,475,9
Bryan Mbeumo,MID,Brentford,8.3,0,3,52,0,18.5,99,9
Matty Cash,DEF,Aston Villa,2.2,0,0,11,0,16.0,32,9
Adam Lallana,MID,Southampton,-1.5,0,0,3,0,2.8,463,9
Sandro Tonali,MID,Newcastle,1.5,0,0,3,0,0.6,417,9
Issa Diop,DEF,Fulham,0.0,0,0,15,0,10.5,245,9
Igor Julio dos Santos de Paulo,DEF,Brighton,2.0,0,0,7,0,4.2,128,9
Joelinton Cássio Apolinário de Lira,MID,Newcastle,1.8,0,0,12,0,2.7,403,9
John McGinn,MID,Aston Villa,0.8,0,0,4,1,13.3,48,9
Oscar Bobb,MID,Man City,0.0,0,0,0,0,0.0,343,9
Pedro Cardoso de Lima,DEF,Wolves,0.0,0,0,0,0,0.0,561,9
Pierre-Emile Højbjerg,MID,Spurs,0.0,0,0,0,0,0.0,490,9
Nathan Collins,DEF,Brentford,4.0,0,0,1,0,1.3,88,9
Jesper Lindstrøm,MID,Everton,0.3,0,0,4,0,0.2,577,9
Marc Guéhi,DEF,Crystal Palace,2.8,0,0,24,1,0.6,200,9
Mathias Jorgensen,DEF,Brentford,0.0,0,0,0,0,0.0,112,9
William Osula,FWD,Newcastle,0.2,0,0,3,0,0.0,590,9
Harry Souttar,DEF,Leicester,0.0,0,0,0,0,0.0,303,9
Jean-Philippe Mateta,FWD,Crystal Palace,2.8,0,3,32,1,2.6,207,9
Ben Nelson,DEF,Leicester,0.0,0,0,0,0,0.0,616,9
Bernardo Veiga de Carvalho e Silva,MID,Man City,5.2,0,0,16,1,27.7,342,9
Filip Jørgensen,GK,Chelsea,0.5,0,0,0,0,0.0,581,9
David Brooks,MID,Bournemouth,0.5,0,0,5,0,0.3,62,9
Son Heung-min,MID,Spurs,0.6,0,0,0,0,0.0,503,9
Solly March,MID,Brighton,0.0,0,0,0,0,0.0,132,9
Manor Solomon,MID,Spurs,0.0,0,0,0,0,0.0,502,9
Nathaniel Phillips,DEF,Liverpool,0.0,0,0,0,0,0.0,332,9
Kieran Trippier,DEF,Newcastle,0.0,0,0,0,0,0.0,418,9
John Stones,DEF,Man City,5.2,0,0,3,0,0.0,362,9
Sam Morsy,MID,Ipswich,1.2,0,0,0,0,0.0,278,9
Jayden Meghoma,DEF,Brentford,0.0,0,0,0,0,0.0,649,9
Lewis Hall,DEF,Newcastle,2.8,1,0,24,0,61.4,399,9
Marc Guiu Paz,FWD,Chelsea,0.5,0,0,0,0,0.0,178,9
Tom Cannon,FWD,Leicester,0.0,0,0,0,0,0.0,286,9
Ben Davies,DEF,Spurs,0.5,0,0,0,0,0.0,484,9
Tyler Morton,MID,Liverpool,0.0,0,0,0,0,0.0,331,9
Matheus França de Oliveira,MID,Crystal Palace,0.0,0,0,0,0,0.0,208,9
Calvin Bassey,DEF,Fulham,0.7,0,0,10,0,1.1,241,9
Eddie Nketiah,FWD,Crystal Palace,0.8,0,0,3,0,0.8,11,9
Andreas Hoelgebaum Pereira,MID,Fulham,3.7,0,0,7,1,35.8,240,9
Caleb Kporha,DEF,Crystal Palace,-0.5,0,0,0,0,0.0,666,9
Matheus Santos Carneiro Da Cunha,FWD,Wolves,5.5,0,3,44,0,50.8,541,9
Amadou Onana,MID,Aston Villa,1.0,0,0,1,0,2.1,233,9
Morgan Rogers,MID,Aston Villa,4.2,0,0,-2,0,12.6,54,9
Reiss Nelson,MID,Fulham,2.0,0,0,6,0,16.3,10,9
Tosin Adarabioyo,DEF,Chelsea,0.5,0,0,0,0,0.0,187,9
Matt Targett,DEF,Newcastle,-0.1,0,0,0,0,0.0,416,9
Filip Marschall,GK,Aston Villa,0.0,0,0,0,0,0.0,46,9
Jan Paul van Hecke,DEF,Brighton,0.7,0,0,8,0,20.5,144,9
Jean-Clair Todibo,DEF,West Ham,1.0,0,0,3,0,0.4,591,9
Jack Clarke,MID,Ipswich,2.2,0,0,4,0,0.0,631,9
Chris Mepham,DEF,Bournemouth,0.0,0,0,0,0,0.0,72,9
Ollie Watkins,FWD,Aston Villa,5.8,0,0,14,1,22.6,58,9
Jorge Cuenca Barreno,DEF,Fulham,0.3,0,0,1,0,0.0,586,9
Rico Lewis,DEF,Man City,5.5,0,0,26,1,5.9,355,9
Julián Araujo Zúñiga,DEF,Bournemouth,0.2,0,0,-2,0,0.3,592,9
Murillo Santiago Costa dos Santos,DEF,Nott'm Forest,4.0,0,0,12,0,21.3,436,9
James Tarkowski,DEF,Everton,5.0,0,0,6,0,21.1,236,9
Joël Veltman,DEF,Brighton,3.0,0,0,4,0,7.4,145,9
Jaidon Anthony,MID,Bournemouth,0.0,0,0,0,0,0.0,61,9
Kamaldeen Sulemana,MID,Southampton,-1.0,0,0,2,0,0.0,462,9
Timo Werner,MID,Spurs,3.0,0,0,1,0,1.6,509,9
Tyrone Mings,DEF,Aston Villa,0.0,0,0,0,0,0.0,49,9
Ethan Wheatley,FWD,Man Utd,0.0,0,0,0,0,0.0,648,9
Matz Sels,GK,Nott'm Forest,6.3,1,0,13,0,0.0,443,9
Ryan Yates,MID,Nott'm Forest,4.3,0,1,31,0,13.9,449,9
Amad Diallo,MID,Man Utd,0.5,0,0,7,0,17.3,364,9
Josh Nichols,DEF,Arsenal,0.0,0,0,0,0,0.0,662,9
Sam Szmodics,MID,Ipswich,2.5,0,0,27,0,1.9,611,9
Malo Gusto,DEF,Chelsea,2.2,0,0,7,0,13.1,171,9
Nathan Butler-Oyedeji,FWD,Arsenal,0.0,0,0,0,0,0.0,665,9
Hwang Ui-jo,FWD,Nott'm Forest,0.0,0,0,0,0,0.0,446,9
Jakub Stolarczyk,GK,Leicester,0.0,0,0,0,0,0.0,304,9
Lloyd Kelly,DEF,Newcastle,-0.2,0,0,3,0,0.1,404,9
Mateus Gonçalo Espanha Fernandes,MID,Southampton,0.7,0,0,13,0,18.4,623,9
Valentín Barco,DEF,Brighton,0.0,0,0,0,0,0.0,116,9
Dean Huijsen,DEF,Bournemouth,0.0,0,0,0,0,0.0,580,9
Carlos Roberto Forbs Borges,MID,Wolves,0.8,0,0,1,0,1.6,655,9
André Trindade da Costa Neto,MID,Wolves,1.0,0,0,3,0,0.1,642,9
Max Aarons,DEF,Bournemouth,0.0,0,0,0,0,0.0,59,9
Rhys Williams,DEF,Liverpool,0.0,0,0,0,0,0.0,334,9
Michail Antonio,FWD,West Ham,7.3,0,0,11,1,36.2,512,9
Ibrahim Osman,MID,Brighton,0.0,0,0,0,0,0.0,127,9
Lewis Miley,MID,Newcastle,-0.5,0,0,0,0,0.0,411,9
Nathan Wood-Gordon,DEF,Southampton,-1.5,0,0,0,0,0.0,477,9
Rodrigo Muniz Carvalho,FWD,Fulham,2.3,0,0,3,0,0.1,251,9
Benjamin White,DEF,Arsenal,1.3,1,0,19,0,11.7,24,9
Cameron Burgess,DEF,Ipswich,0.2,0,0,7,0,11.3,263,9
Abdul Fatawu,MID,Leicester,2.3,0,0,11,0,17.4,570,9
Dominik Szoboszlai,MID,Liverpool,1.2,0,0,4,0,1.3,336,9
Tim Iroegbunam,MID,Everton,0.0,0,0,0,0,0.0,226,9
Neco Williams,DEF,Nott'm Forest,0.7,0,0,8,0,0.5,437,9
Roméo Lavia,MID,Chelsea,2.2,1,0,25,0,15.8,174,9
Leon Bailey,MID,Aston Villa,3.2,1,0,15,0,10.3,28,9
Niclas Füllkrug,FWD,West Ham,0.0,0,0,0,0,0.0,589,9
Harvey Barnes,MID,Newcastle,1.5,0,0,7,0,15.3,392,9
Brennan Johnson,MID,Spurs,5.7,0,0,4,0,15.2,491,9
Andrew Moran,MID,Brighton,0.0,0,0,0,0,0.0,601,9
Harry Maguire,DEF,Man Utd,0.0,0,0,0,0,0.0,377,9
Mark Travers,GK,Bournemouth,1.2,0,1,20,0,0.0,84,9
Will Smallbone,MID,Southampton,0.0,0,0,0,0,0.0,471,9
Mykhailo Mudryk,MID,Chelsea,1.2,0,0,6,0,0.8,179,9
Imari Samuels,DEF,Brighton,0.0,0,0,0,0,0.0,663,9
Hamed Traorè,MID,Bournemouth,0.0,0,0,0,0,0.0,67,9
Stefan Ortega Moreno,GK,Man City,1.5,0,0,0,0,0.0,358,9
Renato Palma Veiga,MID,Chelsea,0.5,0,0,0,0,0.0,184,9
Eberechi Eze,MID,Crystal Palace,2.8,1,0,19,1,22.3,199,9
Samuel Iling-Junior,MID,Aston Villa,0.0,0,0,0,0,0.0,41,9
Boubacar Kamara,MID,Aston Villa,0.2,0,0,4,0,0.3,42,9
Ali Al-Hamadi,FWD,Ipswich,0.0,0,0,0,0,0.0,260,9
Willy Boly,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,425,9
Carlos Alcaraz Durán,MID,Southampton,0.0,0,0,0,0,0.0,450,9
Victor Lindelöf,DEF,Man Utd,0.5,0,0,-1,0,1.0,376,9
Ross Barkley,MID,Aston Villa,2.2,0,0,19,0,1.3,29,9
James McConnell,MID,Liverpool,0.0,0,0,0,0,0.0,330,9
Kobbie Mainoo,MID,Man Utd,0.0,0,0,0,0,0.0,378,9
Ramón Sosa,MID,Nott'm Forest,0.7,0,0,7,0,20.7,620,9
Sander Berge,MID,Fulham,2.0,0,0,15,0,12.5,622,9
Maldini Kacurri,DEF,Arsenal,0.0,0,0,0,0,0.0,657,9
Adam Armstrong,FWD,Southampton,-1.3,0,0,-1,0,10.6,453,9
Aaron Cresswell,DEF,West Ham,0.3,0,0,1,0,0.0,517,9
Emil Krafth,DEF,Newcastle,-0.5,0,0,0,0,0.0,405,9
Jakub Kiwior,DEF,Arsenal,0.7,0,0,-1,0,0.5,8,9
Kristoffer Ajer,DEF,Brentford,0.0,0,0,0,0,0.0,86,9
Will Hughes,MID,Crystal Palace,0.8,0,0,10,1,45.8,203,9
David Ozoh,MID,Crystal Palace,0.0,0,0,0,0,0.0,212,9
Jakub Moder,MID,Brighton,0.0,0,0,0,0,0.0,137,9
Cieran Slicker,GK,Ipswich,0.0,0,0,0,0,0.0,280,9
Raheem Sterling,MID,Arsenal,0.7,0,0,0,0,0.0,186,9
Raúl Jiménez,FWD,Fulham,4.7,0,0,10,1,37.3,252,9
Bryan Gil Salvatierra,MID,Spurs,0.0,0,0,0,0,0.0,483,9
Myles Lewis-Skelly,MID,Arsenal,0.3,0,0,5,0,0.4,597,9
Giovani Lo Celso,MID,Spurs,0.0,0,0,0,0,0.0,493,9
Tawanda Chirewa,MID,Wolves,0.0,0,0,0,0,0.0,538,9
Cameron Humphreys,MID,Ipswich,0.0,0,0,0,0,0.0,273,9
Ashley Young,DEF,Everton,6.0,1,1,23,0,12.3,238,9
James Bree,DEF,Southampton,-1.3,0,0,4,0,10.7,457,9
Alex Scott,MID,Bournemouth,0.0,0,0,0,0,0.0,77,10
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.0,0,0,0,0,0.0,427,10
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,10
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,10
Ben Brereton Díaz,MID,Southampton,-0.5,0,0,0,0,0.0,584,10
Pau Torres,DEF,Aston Villa,0.8,0,0,-2,0,0.8,52,10
Joel Ward,DEF,Crystal Palace,0.0,0,0,0,0,0.0,215,10
Will Lankshear,FWD,Spurs,0.5,0,0,0,0,0.0,609,10
Hwang Hee-chan,MID,Wolves,0.0,0,0,0,0,0.0,550,10
Mikey Moore,MID,Spurs,1.2,0,0,0,0,0.0,610,10
Hákon Valdimarsson,GK,Brentford,0.0,0,0,0,0,0.0,109,10
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,10
João Victor Gomes da Silva,MID,Wolves,4.3,0,3,41,0,33.6,553,10
Cole Palmer,MID,Chelsea,5.5,0,1,25,0,37.8,182,10
Mitoma Kaoru,MID,Brighton,0.7,0,0,9,0,31.5,136,10
Boubakary Soumaré,MID,Leicester,0.3,0,0,2,0,1.1,285,10
Chris Wood,FWD,Nott'm Forest,6.8,0,1,37,1,5.0,447,10
Joe Worrall,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,448,10
Jeffrey Schlupp,MID,Crystal Palace,0.7,0,0,3,0,0.0,214,10
Milos Kerkez,DEF,Bournemouth,5.3,2,2,37,0,27.6,70,10
Adrian Mazilu,MID,Brighton,0.0,0,0,0,0,0.0,133,10
Jason Steele,GK,Brighton,-1.0,0,0,0,0,0.0,142,10
Arijanet Muric,GK,Ipswich,2.3,0,0,8,0,0.0,568,10
Harvey Davies,GK,Liverpool,1.0,0,0,0,0,0.0,669,10
Carl Rushworth,GK,Brighton,0.0,0,0,0,0,0.0,615,10
Ibrahim Sangaré,MID,Nott'm Forest,0.0,0,0,0,0,0.0,442,10
Hannibal Mejbri,MID,Man Utd,0.0,0,0,0,0,0.0,373,10
Brandon Austin,GK,Spurs,0.5,0,0,0,0,0.0,479,10
Conor Coady,DEF,Leicester,0.0,0,0,0,0,0.0,288,10
Wes Foderingham,GK,West Ham,0.0,0,0,0,0,0.0,522,10
Armando Broja,FWD,Everton,0.0,0,0,0,0,0.0,156,10
Adam Webster,DEF,Brighton,0.0,0,0,0,0,0.0,147,10
Thomas Partey,MID,Arsenal,3.0,0,0,17,0,25.8,20,10
Harry Wilson,MID,Fulham,5.0,0,3,44,0,1.8,259,10
Kasey McAteer,MID,Leicester,0.3,0,0,5,0,1.4,299,10
Curtis Jones,MID,Liverpool,7.3,1,0,14,0,10.4,324,10
Wes Burns,MID,Ipswich,1.3,0,0,5,0,0.0,264,10
Gustavo Nunes Fernandes Gomes,MID,Brentford,0.0,0,0,0,0,0.0,634,10
Yunus Emre Konak,MID,Brentford,0.0,0,0,0,0,0.0,97,10
Max Kilman,DEF,West Ham,1.0,0,0,3,0,1.0,524,10
Deniz Undav,FWD,Brighton,0.0,0,0,0,0,0.0,143,10
Alex Murphy,DEF,Newcastle,-1.0,0,0,0,0,0.0,390,10
George Edmundson,DEF,Ipswich,0.0,0,0,0,0,0.0,269,10
Sávio 'Savinho' Moreira de Oliveira,MID,Man City,2.5,0,0,0,0,0.0,571,10
Emerson Palmieri dos Santos,DEF,West Ham,0.7,0,0,-2,0,6.5,520,10
Abdoulaye Doucouré,MID,Everton,1.7,0,0,0,0,0.0,217,10
Alfie Pond,DEF,Wolves,0.0,0,0,0,0,0.0,664,10
José Malheiro de Sá,GK,Wolves,2.0,0,0,11,0,0.0,554,10
Alexander Isak,FWD,Newcastle,4.7,0,3,36,1,4.6,401,10
Yves Bissouma,MID,Spurs,4.8,0,0,5,0,2.3,482,10
Conor Gallagher,MID,Chelsea,0.0,0,0,0,0,0.0,169,10
Philip Billing,MID,Bournemouth,-1.0,0,0,0,0,0.0,76,10
Gonçalo Manuel Ganchinho Guedes,MID,Wolves,1.7,1,0,14,0,12.1,548,10
Brajan Gruda,MID,Brighton,-0.3,0,0,2,0,11.1,595,10
Rodrigo 'Rodri' Hernandez,MID,Man City,0.0,0,0,0,0,0.0,360,10
Đorđe Petrović,GK,Chelsea,0.0,0,0,0,0,0.0,183,10
Justin Devenny,MID,Crystal Palace,0.0,0,0,0,0,0.0,645,10
Craig Dawson,DEF,Wolves,2.0,0,0,6,0,0.7,542,10
Jordan Ayew,MID,Leicester,4.3,0,1,21,0,0.3,192,10
Marcos Senesi,DEF,Bournemouth,3.3,0,0,12,0,1.6,79,10
Kiernan Dewsbury-Hall,MID,Chelsea,0.5,0,0,0,0,0.0,166,10
Kaine Kesler-Hayden,DEF,Aston Villa,0.0,0,0,0,0,0.0,43,10
João Cavaco Cancelo,DEF,Man City,0.0,0,0,0,0,0.0,353,10
Maxwel Cornet,MID,Southampton,-0.5,0,0,0,0,0.0,515,10
Jefferson Lerma Solís,MID,Crystal Palace,0.0,0,0,0,0,0.0,206,10
Jannik Vestergaard,DEF,Leicester,0.7,0,0,14,0,11.8,307,10
Jacob Wright,MID,Man City,2.1,0,0,0,0,0.0,671,10
Luke Thomas,DEF,Leicester,0.0,0,0,0,0,0.0,305,10
Bruno Borges Fernandes,MID,Man Utd,5.2,0,3,41,0,50.6,366,10
Adam Smith,DEF,Bournemouth,0.3,0,0,7,0,15.4,81,10
Miodrag Pivaš,DEF,Newcastle,0.0,0,0,0,0,0.0,574,10
Billy Gilmour,MID,Brighton,0.0,0,0,0,0,0.0,124,10
Rasmus Højlund,FWD,Man Utd,4.5,1,0,17,0,27.5,375,10
Callum Wilson,FWD,Newcastle,0.0,0,0,0,0,0.0,421,10
Crysencio Summerville,MID,West Ham,3.0,0,0,2,0,6.1,587,10
Jesurun Rak-Sakyi,MID,Crystal Palace,0.0,0,0,0,0,0.0,213,10
Oliver Skipp,MID,Leicester,0.3,0,0,0,0,0.0,501,10
Tomáš Souček,MID,West Ham,0.7,0,0,0,0,0.0,530,10
Taylor Harwood-Bellis,DEF,Southampton,2.2,0,0,27,1,1.8,461,10
Alphonse Areola,GK,West Ham,-0.3,0,0,0,0,0.0,513,10
Lisandro Martínez,DEF,Man Utd,0.8,0,0,4,0,0.6,380,10
Richarlison de Andrade,FWD,Spurs,2.2,1,0,15,0,20.6,497,10
Joško Gvardiol,DEF,Man City,7.3,0,0,23,0,15.7,350,10
Harry Clarke,DEF,Ipswich,0.0,0,0,0,0,0.0,266,10
Joachim Andersen,DEF,Fulham,0.0,0,0,7,0,3.6,191,10
Moisés Caicedo Corozo,MID,Chelsea,5.8,0,2,35,0,13.8,157,10
Carlos Henrique Casimiro,MID,Man Utd,3.8,0,0,6,0,5.3,368,10
Roman Dixon,DEF,Everton,0.5,0,0,0,0,0.0,627,10
Jhon Durán,FWD,Aston Villa,0.5,0,0,2,0,0.2,38,10
Jacob Murphy,MID,Newcastle,0.0,0,0,0,0,0.0,402,10
Sean Longstaff,MID,Newcastle,0.3,0,0,6,1,1.8,410,10
Leander Dendoncker,MID,Aston Villa,0.0,0,0,0,0,0.0,33,10
Trevoh Chalobah,DEF,Crystal Palace,5.7,0,0,24,0,11.0,159,10
Ryan Manning,DEF,Southampton,1.5,0,0,3,0,19.4,467,10
Vitalii Mykolenko,DEF,Everton,4.2,0,0,9,0,5.6,231,10
Ryan Christie,MID,Bournemouth,2.3,0,0,6,1,2.5,63,10
Fábio Silva,FWD,Wolves,0.0,0,0,0,0,0.0,545,10
Kepa Arrizabalaga,GK,Bournemouth,0.0,0,0,0,0,0.0,152,10
Frank Onyeka,MID,Brentford,0.0,0,0,0,0,0.0,102,10
Youssef Ramalho Chermiti,FWD,Everton,0.0,0,0,0,0,0.0,237,10
Morgan Gibbs-White,MID,Nott'm Forest,0.5,0,0,11,1,20.2,433,10
Noni Madueke,MID,Chelsea,2.2,0,0,1,0,2.9,177,10
Nélson Cabral Semedo,DEF,Wolves,1.7,0,0,3,0,6.1,559,10
Tommy Doyle,MID,Wolves,2.7,0,0,15,0,2.2,544,10
Tom Heaton,GK,Man Utd,-0.5,0,0,0,0,0.0,374,10
Lucas Bergvall,MID,Spurs,0.5,0,0,0,0,0.0,481,10
Lesley Ugochukwu,MID,Southampton,-0.2,0,0,5,0,0.1,188,10
Evan Ferguson,FWD,Brighton,2.0,0,0,3,0,0.0,123,10
Christian Eriksen,MID,Man Utd,0.6,0,0,0,0,0.0,370,10
Danny Ings,FWD,West Ham,2.7,0,0,0,0,0.0,523,10
Jean-Ricner Bellegarde,MID,Wolves,0.7,0,0,6,0,14.8,535,10
Tim Ream,DEF,Fulham,0.0,0,0,0,0,0.0,253,10
Benoît Badiashile,DEF,Chelsea,0.8,0,0,0,0,0.0,153,10
Radu Drăgușin,DEF,Spurs,1.2,0,0,8,0,1.6,486,10
Jack Stephens,DEF,Southampton,2.2,0,0,29,1,3.1,472,10
Mateo Kovačić,MID,Man City,3.0,0,0,11,0,8.3,354,10
Nicolás Domínguez,MID,Nott'm Forest,2.0,0,0,11,1,19.5,431,10
Ben Doak,MID,Liverpool,0.0,0,0,0,0,0.0,318,10
Phil Foden,MID,Man City,4.0,0,0,16,0,23.0,348,10
Mason Mount,MID,Man Utd,-0.1,0,0,0,0,0.0,382,10
Gabriel Martinelli Silva,MID,Arsenal,2.7,0,0,2,0,2.3,9,10
Yasin Ayari,MID,Brighton,1.0,0,0,23,0,25.3,600,10
Mikel Merino,MID,Arsenal,4.7,0,0,6,0,6.0,633,10
Facundo Buonanotte,MID,Leicester,3.0,0,0,17,0,33.0,117,10
Caoimhin Kelleher,GK,Liverpool,3.0,0,0,12,0,0.0,325,10
Odeluga Offiah,DEF,Brighton,0.0,0,0,0,0,0.0,139,10
Lino da Cruz Sousa,DEF,Aston Villa,0.0,0,0,0,0,0.0,56,10
Amario Cozier-Duberry,MID,Brighton,0.0,0,0,0,0,0.0,118,10
Emerson Leite de Souza Junior,DEF,Spurs,0.0,0,0,0,0,0.0,487,10
Kai Havertz,FWD,Arsenal,2.7,0,0,4,0,11.8,4,10
Scott Carson,GK,Man City,1.0,0,0,0,0,0.0,344,10
Ethan Brierley,MID,Brentford,0.0,0,0,0,0,0.0,87,10
Andrey Nascimento dos Santos,MID,Chelsea,0.0,0,0,0,0,0.0,150,10
Rico Henry,DEF,Brentford,0.0,0,0,0,0,0.0,92,10
Mateusz Lis,GK,Southampton,0.0,0,0,0,0,0.0,465,10
Yoane Wissa,FWD,Brentford,4.3,0,0,7,1,4.8,110,10
Daniel Iversen,GK,Leicester,0.0,0,0,0,0,0.0,294,10
Mads Hermansen,GK,Leicester,2.0,0,0,6,0,0.0,293,10
Rob Holding,DEF,Crystal Palace,0.0,0,0,0,0,0.0,202,10
Ismaïla Sarr,MID,Crystal Palace,2.0,0,0,9,0,29.4,585,10
Jarrod Bowen,MID,West Ham,3.7,0,0,15,0,17.3,514,10
Mark O’Mahony,FWD,Brighton,0.0,0,0,0,0,0.0,138,10
Ryan Sessegnon,DEF,Fulham,0.0,0,0,0,0,0.0,579,10
Josh Dasilva,MID,Brentford,0.0,0,0,0,0,0.0,90,10
Jadon Sancho,MID,Chelsea,0.0,0,0,0,0,0.0,386,10
Sam Johnstone,GK,Wolves,0.0,0,0,0,0,0.0,204,10
Jonny Evans,DEF,Man Utd,-0.2,0,0,0,0,0.0,371,10
Mohamed Salah,MID,Liverpool,11.3,0,2,31,0,21.8,328,10
Federico Chiesa,MID,Liverpool,0.0,0,0,0,0,0.0,636,10
Timothy Castagne,DEF,Fulham,0.3,0,0,6,0,1.1,244,10
Tariq Lamptey,DEF,Brighton,0.0,0,0,0,0,0.0,131,10
Ola Aina,DEF,Nott'm Forest,7.7,0,3,44,1,12.7,422,10
Taiwo Awoniyi,FWD,Nott'm Forest,1.0,0,0,2,0,0.0,424,10
Leandro Trossard,MID,Arsenal,3.3,0,0,7,0,4.4,23,10
Jacob Greaves,DEF,Ipswich,0.0,0,0,0,0,0.0,270,10
Issa Kaboré,DEF,Man City,0.0,0,0,0,0,0.0,626,10
Alfie Whiteman,GK,Spurs,0.5,0,0,0,0,0.0,510,10
Séamus Coleman,DEF,Everton,0.5,0,0,0,0,0.0,221,10
Fabian Schär,DEF,Newcastle,1.3,0,0,20,1,1.5,415,10
Nicolas Jackson,FWD,Chelsea,5.8,0,0,12,0,12.9,180,10
Joe White,MID,Newcastle,0.0,0,0,0,0,0.0,419,10
Jamie Vardy,FWD,Leicester,6.3,1,0,18,0,27.4,306,10
Miguel Almirón Rejala,MID,Newcastle,0.0,0,0,0,0,0.0,391,10
James Garner,MID,Everton,0.0,0,0,0,0,0.0,223,10
Marcus Tavernier,MID,Bournemouth,1.7,0,0,9,0,18.8,83,10
Lewis Dobbin,MID,Aston Villa,0.0,0,0,0,0,0.0,37,10
Viljami Sinisalo,GK,Aston Villa,0.0,0,0,0,0,0.0,55,10
Omari Kellyman,MID,Chelsea,0.0,0,0,0,0,0.0,173,10
Jayce Fitzgerald,MID,Man Utd,0.6,0,0,0,0,0.0,673,10
Daniel Castelo Podence,MID,Wolves,0.0,0,0,0,0,0.0,562,10
Martial Godo,MID,Fulham,0.0,0,0,0,0,0.0,605,10
Harrison Reed,MID,Fulham,0.3,0,0,0,0,0.0,254,10
Guido Rodríguez,MID,West Ham,1.3,0,0,-1,0,1.0,588,10
Will Alves,MID,Leicester,0.0,0,0,0,0,0.0,606,10
Carlos Baleba,MID,Brighton,1.0,0,0,0,0,0.0,115,10
James Hill,DEF,Bournemouth,-1.0,0,0,0,0,0.0,68,10
David Datro Fofana,FWD,Chelsea,0.0,0,0,0,0,0.0,164,10
Ryan Fraser,MID,Southampton,-0.9,0,0,0,0,0.0,397,10
Ângelo Gabriel Borges Damaceno,MID,Chelsea,0.0,0,0,0,0,0.0,151,10
Nathan Patterson,DEF,Everton,0.5,0,0,0,0,0.0,234,10
Robin Olsen,GK,Aston Villa,-0.5,0,0,0,0,0.0,51,10
Mathias Jensen,MID,Brentford,0.7,0,0,3,0,0.3,95,10
Bart Verbruggen,GK,Brighton,4.0,0,0,14,0,0.0,146,10
Dango Ouattara,MID,Bournemouth,0.2,0,0,0,0,0.0,74,10
Emmanuel Dennis,FWD,Nott'm Forest,0.0,0,0,0,0,0.0,430,10
Yehor Yarmoliuk,MID,Brentford,0.7,0,0,3,0,0.3,111,10
Julián Álvarez,FWD,Man City,0.0,0,0,0,0,0.0,352,10
Tyler Dibling,MID,Southampton,0.2,0,0,0,0,12.4,608,10
Paul Onuachu,FWD,Southampton,0.2,0,0,-3,0,0.1,470,10
Bobby Clark,MID,Liverpool,0.0,0,0,0,0,0.0,315,10
Kieran Tierney,DEF,Arsenal,0.0,0,0,0,0,0.0,21,10
